100003413	",1052976789599924224,0.0,1539884204.0,33.6601033,-86.8127702', ',1055203679798624256,0.0772,1540415136.0,33.5206608,-86.80249', ',1053407007770722305,0.0,1539986776.0,33.4717732,-86.8008228"
100003539	",1053040740144533504,0.0772,1539899451.0,33.4255104,-111.9400054', ',1047988759730343936,0.0,1538694965.0,33.4255104,-111.9400054"
100003980	",1048339575507017728,0.0,1538778606.0,32.94307426,-97.1306872"
100008086	",1047933147424276480,0.9049,1538681706.0,36.7473114,-95.9808179', ',1050109689210400768,0.6633,1539200634.0,36.7473114,-95.9808179"
100008156	",1049747632694812672,0.0,1539114313.0,37.8998883,-84.5861308', ',1050868073899614208,0.2732,1539381447.0,37.7478572,-84.2946539', ',1051475807586070530,0.3612,1539526342.0,37.8998883,-84.5861308', ',1057693049558511616,0.0,1541008648.0,38.009693,-84.4504178"
100011289	",1048560871184560128,-0.1027,1538831367.0,36.165,-86.78388889"
100014234	",1056261613328744449,0.7003,1540667367.0,37.1951,-93.2862"
1000225364881354752	",1051599338240176129,0.9001,1539555794.0,30.3285,-81.657"
1000247623	",1050057054881308677,0.5859,1539188085.0,39.7391,-104.9836"
1000306346	",1056301832509677568,-0.296,1540676956.0,40.7779,-73.9675"
1000383787627438081	",1047737508304494592,0.0,1538635062.0,32.830488,-96.772733', ',1054653080946511873,0.0,1540283863.0,32.783088,-96.775161', ',1057008589506838530,0.0,1540845460.0,32.783088,-96.775161', ',1054879552390995974,0.0,1540337858.0,32.783088,-96.775161', ',1051467087636516865,-0.4404,1539524263.0,32.843593,-96.697965', ',1055513739552845825,0.0,1540489060.0,32.781455,-96.801814', ',1051270785808125957,0.0,1539477461.0,32.7905064,-96.8103549', ',1053701808621871104,0.4019,1540057062.0,32.7905064,-96.8103549"
1000410553863548928	",1050636732897492992,0.3182,1539326291.0,41.50330333,-81.69494667"
100046772	",1051198731876413440,0.296,1539460282.0,29.2108147,-81.0228331', ',1056174824790216712,0.0772,1540646675.0,29.2108147,-81.0228331"
100046855	",1051939466925887489,0.8176,1539636887.0,40.8750016,-81.4327313', ',1056275366417883136,0.0,1540670646.0,40.8559568,-81.4339126', ',1057693699675643904,0.765,1541008803.0,40.847593,-81.9478555', ',1050387742226436096,0.8519,1539266927.0,41.149599,-81.507993', ',1054411291907903488,0.0,1540226216.0,41.1370748,-81.6439309"
100046930	",1051521521296916480,0.8519,1539537241.0,47.2528768,-122.4442906', ',1051969317774868480,0.296,1539644004.0,47.04,-122.89', ',1047963015058927616,0.0,1538688827.0,47.2528768,-122.4442906"
100047007	",1052911480079704064,0.0772,1539868633.0,35.5950581,-82.5514869', ',1050043272427593728,0.765,1539184799.0,35.4661613,-82.5166982"
100047088	",1051505020917575686,0.0,1539533307.0,46.7162136,-122.9542972', ',1046799523547238400,0.1531,1538411429.0,47.2324122,-122.3473803"
100047198	",1047899165177479168,0.3612,1538673604.0,40.4250903,-86.908224', ',1052201191478779904,0.0,1539699287.0,40.4167022,-86.8752869"
